product_id,name,category,price,description,rating,combined_text
2836,Mặt kính Điện thoại Nokia 8800 sirocco,Khác,0,,0,Mặt kính Điện thoại Nokia 8800 sirocco Khác 
2837,Điện Thoại Nokia 105 2 Sim Cổ (2017) Zin Chính Hãng Bền Đẹp Pin Trâu Giá Rẻ Phím Êm Mượt Màu Xanh Đen Nhỏ Gọn Bo Góc,Khác,0,,0,Điện Thoại Nokia 105 2 Sim Cổ (2017) Zin Chính Hãng Bền Đẹp Pin Trâu Giá Rẻ Phím Êm Mượt Màu Xanh Đen Nhỏ Gọn Bo Góc Khác 
2838,[Mã SKAM70K giảm 7% đơn 500k] Điện thoại Blackberry Q10 đã qua sử dụng zin chính hãng,Khác,0,,0,[Mã SKAM70K giảm 7% đơn 500k] Điện thoại Blackberry Q10 đã qua sử dụng zin chính hãng Khác 
2839,Điện thoại k8 Lưng Da Sang Trọng,Khác,0,,0,Điện thoại k8 Lưng Da Sang Trọng Khác 
2840,"Điện Thoại Bàn Không Dây Lắp Mọi Loại Sim GPhone, HomePhone...Chính Hãng Chuyên Dụng",Khác,0,,0,"Điện Thoại Bàn Không Dây Lắp Mọi Loại Sim GPhone, HomePhone...Chính Hãng Chuyên Dụng Khác "
2841,"Điện thoại SamSsung Galaxy S8 Active Ram 4/64gb màn hình Super AMOLED, 5.8 PIN 4000MAH - HB",Khác,0,,0,"Điện thoại SamSsung Galaxy S8 Active Ram 4/64gb màn hình Super AMOLED, 5.8 PIN 4000MAH - HB Khác "
2842,[Hàng Quốc Tế] Điện thoại Xiaomi Black Shark 4(12G/128GB và 8G/128GB) Tiếng Việt 100%,Khác,0,,0,[Hàng Quốc Tế] Điện thoại Xiaomi Black Shark 4(12G/128GB và 8G/128GB) Tiếng Việt 100% Khác 
2843,Điện thoại Nokia 110i Chính Hãng - Danh bạ 200 - Pin 900 mAh,Khác,0,,0,Điện thoại Nokia 110i Chính Hãng - Danh bạ 200 - Pin 900 mAh Khác 
2844,Điện thoại oppo Neo 7,Khác,0,,0,Điện thoại oppo Neo 7 Khác 
2845,[LaoHac Store] Điện Thoại BlackBerry 8220 Likenew,Khác,0,,0,[LaoHac Store] Điện Thoại BlackBerry 8220 Likenew Khác 
2846,nắp lưng sau xiaomi redmi note 8 pro zin,Khác,0,,0,nắp lưng sau xiaomi redmi note 8 pro zin Khác 
2847,"Điện Thoại Google Pixel 4, Vua Camera, Ram 6/64/128G, Chip Snap 855, Siêu Mượt.",Khác,0,,0,"Điện Thoại Google Pixel 4, Vua Camera, Ram 6/64/128G, Chip Snap 855, Siêu Mượt. Khác "
2848,Điện thoại POCO M3 (4GB/64GB) - Hàng chính hãng 18 tháng,Khác,0,,0,Điện thoại POCO M3 (4GB/64GB) - Hàng chính hãng 18 tháng Khác 
